Eta Epsilon Compression Erreur_MvProd Erreur_Frob Time_hmatrix Time_MvProd
10 -1 0.986221 0.0180717 0.068636 0.537348 0.051029
10 1 0.967678 0.00994627 0.0439732 0.987007 0.058857
10 0.9 0.950024 0.0056335 0.0302543 1.35284 0.073028
10 0.5 0.939404 0.00441822 0.0275342 1.54303 0.080844
10 0.1 0.904732 0.0031095 0.0235118 2.39484 0.121484
10 0.01 0.85211 0.00305162 0.023143 4.31291 0.138172
1 -1 0.959543 0.00381939 0.0215738 1.19963 0.132858
1 1 0.914723 0.00243316 0.0136888 2.45355 0.175616
1 0.9 0.874422 0.00141641 0.009275 3.23596 0.206077
1 0.5 0.854883 0.00104125 0.00860438 3.6089 0.209494
1 0.1 0.798965 0.00064153 0.00756965 4.79898 0.249046
1 0.01 0.737735 0.000622893 0.00740808 6.58749 0.296861
0.1 -1 0.433938 1.40857e-05 0.00034279 7.95993 1.57044
0.1 1 0.297521 3.76926e-06 0.00019919 12.3389 1.72002
0.1 0.9 0.202782 1.44575e-06 0.000135588 15.2318 2.521
0.1 0.5 0.174974 1.14319e-06 0.00012979 15.276 1.85743
0.1 0.1 0.114332 6.29816e-07 0.000119658 16.1537 1.9284
0.1 0.01 0.0871574 5.02056e-07 0.000114477 16.7039 1.87978
