Eta Epsilon Compression Erreur_MvProd Erreur_Frob Time_hmatrix Time_MvProd
10 -1 0.980958 0.022428 0.0671458 0.374895 0.0337
10 1 0.955374 0.0119038 0.0435721 0.719287 0.045304
10 0.9 0.929775 0.00737874 0.0304464 0.956849 0.057379
10 0.5 0.916822 0.00598056 0.0278311 1.10174 0.062654
10 0.1 0.869332 0.00398327 0.0234006 1.68651 0.083623
10 0.01 0.803077 0.00393665 0.022904 2.85752 0.115231
1 -1 0.944381 0.00522243 0.0209876 0.934959 0.098105
1 1 0.884989 0.00299066 0.0136097 1.91676 0.133327
1 0.9 0.829692 0.00186062 0.00929791 2.56405 0.145984
1 0.5 0.805462 0.00139308 0.00865833 2.77559 0.159938
1 0.1 0.73564 0.000847229 0.00748984 3.63759 0.186548
1 0.01 0.660617 0.000828064 0.0072095 4.73888 0.221228
0.1 -1 0.270342 1.08627e-05 0.000296854 5.56486 1.29812
0.1 1 0.160271 2.49825e-06 0.000180961 7.83802 1.36008
0.1 0.9 0.0876534 7.45649e-07 0.000117661 8.67478 1.27463
0.1 0.5 0.075623 6.28055e-07 0.000114016 8.94911 1.35991
0.1 0.1 0.053447 4.26777e-07 0.000107915 9.14173 1.32479
0.1 0.01 0.0413492 3.14329e-07 0.000101426 9.41165 1.34971
