Eta Epsilon Compression Erreur_MvProd Erreur_Frob Time_hmatrix Time_MvProd
10 -1 0.962828 0.0238411 0.0673739 0.637765 0.065283
10 1 0.930127 0.0153378 0.04533 1.10111 0.084526
10 0.9 0.898707 0.00929432 0.0314917 1.51664 0.099554
10 0.5 0.883523 0.00753161 0.0283301 1.77321 0.127645
10 0.1 0.832654 0.00504804 0.0224726 2.52989 0.127414
10 0.01 0.762774 0.00500547 0.0217606 3.63214 0.168466
1 -1 0.892551 0.00418333 0.0206528 1.24684 0.173406
1 1 0.8173 0.00279471 0.0137691 2.36871 0.24076
1 0.9 0.749037 0.00183366 0.00924862 3.10763 0.249167
1 0.5 0.721005 0.0013761 0.00847518 3.42807 0.255459
1 0.1 0.645676 0.000921218 0.00700519 4.3424 0.328103
1 0.01 0.572985 0.0009068 0.0066051 5.44808 0.320837
0.1 -1 0.012332 5.43141e-08 6.43724e-05 5.08394 1.69302
0.1 1 0.00540722 8.56587e-09 4.38947e-05 5.37407 1.65349
0.1 0.9 0.00263434 3.95474e-09 3.1375e-05 5.41193 1.5683
0.1 0.5 0.00251491 3.81104e-09 3.11874e-05 5.35536 1.58574
0.1 0.1 0.00235551 3.71305e-09 3.07109e-05 5.36767 1.56016
0.1 0.01 0.00233146 3.71411e-09 3.0649e-05 5.27067 1.56657
