Eta Epsilon Compression Erreur_MvProd Erreur_Frob Time_hmatrix Time_MvProd
10 -1 0.941971 0.00998331 0.0347857 0.3873 0.020344
10 1 0.839583 0.00219212 0.0239437 0.832165 0.031885
10 0.9 0.752987 0.00179217 0.0183203 1.10379 0.041914
10 0.5 0.713223 0.00141848 0.0176056 1.24007 0.046634
10 0.1 0.599313 0.00109652 0.0165566 1.58263 0.058771
10 0.01 0.447569 0.00105962 0.0164983 2.46949 0.072166
1 -1 0.789539 0.00382169 0.0111389 0.791104 0.067816
1 1 0.628104 0.000797091 0.00770715 1.66104 0.09017
1 0.9 0.51151 0.00027528 0.00592141 2.01526 0.107089
1 0.5 0.478734 0.000233795 0.00583559 2.13502 0.105202
1 0.1 0.375787 0.000155109 0.00567962 2.47736 0.123611
1 0.01 0.263337 0.000143544 0.00567094 2.9555 0.128047
0.1 -1 0.0197516 7.31079e-08 4.44125e-05 1.26663 0.278416
0.1 1 0.00756642 1.16054e-08 3.2248e-05 1.32967 0.281231
0.1 0.9 0.00488435 8.57228e-09 2.88841e-05 1.36641 0.279277
0.1 0.5 0.00488435 8.57228e-09 2.88841e-05 1.35388 0.279948
0.1 0.1 0.00488435 8.57228e-09 2.88841e-05 1.37167 0.315663
0.1 0.01 0.00488435 8.57228e-09 2.88841e-05 1.34499 0.280529
